Etat,Milieage,Carburant,CarVendeur,Portes,seats,CarNameV2,Modele,Price,etatCategory,Month,Year,Puissance,TransmissionV2,Cylindrée,Vitesses,Cylindres,HorsePower,ClasseEmission,Typedecarburant,Consommationdecarburant,ÉmissionsdeCO2
Bon prix,84100,Diesel,Professionnel,5.0,5.0,Mercedes,A 180,169005,2,9.0,2019.0,85.0,Boîte manuelle,1461.0,8.0,1425.0,116.0,Euro 6d,Diesel,3.8,106.0
Bon prix,40671,Essence,Professionnel,5.0,5.0,Mercedes,GLA 180,179505,2,3.0,2017.0,90.0,Boîte manuelle,1595.0,9.0,1295.0,122.0,Euro 6,Essence,5.7,133.0
Bon prix,69636,Essence,Professionnel,5.0,5.0,Mercedes,A 180,159905,2,7.0,2018.0,90.0,Boîte manuelle,1595.0,9.0,1360.0,122.0,Euro 6b,Essence,5.2,120.0
Pas d'information,11998,Electrique/Essence,Professionnel,5.0,4.0,Mercedes,E 53 AMG,10999015,0,7.0,2024.0,430.0,Boîte automatique,2999.0,4.0,,585.0,,Électrique,,22.0
Bon prix,71300,Essence,Professionnel,5.0,5.0,Mercedes,GLC 250,3150015,2,8.0,2019.0,155.0,Boîte automatique,1991.0,1.0,1805.0,211.0,Euro 6d,,7.1,162.0
Très bon prix,61290,Electrique/Essence,Professionnel,,5.0,Mercedes,GLA 250,3699015,3,1.0,2023.0,160.0,Boîte automatique,1332.0,1.0,,218.0,Euro 6,Électrique,,
Bon prix,70163,Diesel,Professionnel,5.0,4.0,Mercedes,C 220,195005,2,10.0,2014.0,120.0,Boîte automatique,2143.0,1.0,1505.0,163.0,Euro 6b,Diesel,4.0,110.0
Très bon prix,58371,Essence,Professionnel,5.0,4.0,Mercedes,CLA 200,319905,3,2.0,2021.0,120.0,Boîte automatique,1332.0,1.0,1420.0,163.0,Euro 6d,Essence,5.3,122.0
Bon prix,67833,Diesel,Professionnel,5.0,4.0,Mercedes,E 200,176995,2,5.0,2015.0,100.0,Boîte automatique,2143.0,1.0,,136.0,,Diesel,4.6,121.0
Prix correct,212000,Diesel,Professionnel,5.0,5.0,Mercedes,ML 250,169505,1,5.0,2012.0,150.0,Boîte automatique,2143.0,1.0,2150.0,204.0,Euro 6b,Diesel,5.8,154.0
Très bon prix,119337,Essence,Professionnel,5.0,5.0,Mercedes,GLA 180,146995,3,12.0,2017.0,90.0,Boîte manuelle,1595.0,9.0,,122.0,,Essence,5.7,133.0
Pas d'information,92158,Essence,Professionnel,5.0,4.0,Mercedes,E 43 AMG,399505,0,11.0,2016.0,295.0,Boîte automatique,2996.0,2.0,1740.0,401.0,Euro 6b,Essence,8.4,192.0
